trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.997}",25,0,-220.82211083520795,"{0: 9, 1: 8, 2: 3, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.994009}",25,0,-125.41471033073985,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.991026973}",30,0,-99.70029112271081,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.988053892081}",20,0,-85.3586993925752,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.985089730404757}",25,10,-62.68394802037693,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.9821344612135428}",20,0,-180.82175495434242,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.9791880578299021}",25,0,-169.55624878983787,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9762504936564125}",20,0,-70.36017415571902,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9733217421754432}",20,0,-61.887268357549466,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9704017769489168}",25,0,-158.33282647773126,"{0: 10, 1: 5, 2: 8, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9674905716180701}",20,0,-164.37317725516414,"{0: 9, 1: 5, 2: 3, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.9645880999032158}",20,0,-51.850196835867585,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9616943356035061}",30,0,-166.51588555274668,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9588092525966956}",20,0,-114.60191502305472,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9559328248389055}",30,0,-157.1922596101995,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9530650263643888}",20,0,-208.3750209710302,"{0: 11, 1: 1, 2: 2, 3: 2, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.9502058312852957}",20,0,-75.93100204243153,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9473552137914398}",20,0,-150.84229707497113,"{0: 7, 1: 4, 2: 6, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9445131481500655}",25,0,-256.95903964902135,"{0: 11, 1: 0, 2: 7, 3: 4, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.9416796087056153}",20,16,7.141489340774692,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.9388545698794984}",20,0,-63.71689195018985,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.93603800616986}",20,0,-70.74763185366619,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.9332298921513504}",25,0,-133.44741330826895,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9304302024748964}",30,0,-184.43080950812532,"{0: 15, 1: 3, 2: 9, 3: 1, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.9276389118674717}",25,0,-115.78188984106995,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.9248559951318693}",25,0,-123.44680239721836,"{0: 13, 1: 6, 2: 3, 3: 2, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.9220814271464737}",25,0,-172.9211616833042,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
28,False,"{'a': 0.5, 'e': 0.9193151828650342}",20,0,-61.768951500512266,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.9165572373164391}",25,0,-101.92857393473213,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.9138075656044898}",20,0,-44.02054943721956,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.9110661429076764}",25,0,-122.81083325623197,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.9083329444789534}",30,0,-294.17087639021145,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 6}",0
33,False,"{'a': 0.5, 'e': 0.9056079456455165}",25,0,-76.05316686009819,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.90289112180858}",30,4,-95.86621782109742,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 1}",1
35,False,"{'a': 0.5, 'e': 0.9001824484431542}",30,3,-84.29805018167028,"{0: 17, 1: 4, 2: 5, 3: 0, 4: 1}",1
36,False,"{'a': 0.5, 'e': 0.8974819010978248}",20,0,-56.774427663271034,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.8947894553945313}",25,0,-143.83444603977088,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
38,False,"{'a': 0.5, 'e': 0.8921050870283477}",25,0,-131.39117437409192,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.8894287717672626}",20,0,-103.80871466794373,"{0: 12, 1: 5, 2: 1, 3: 0, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.8867604854519608}",25,0,-90.84762845327018,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.884100203995605}",30,2,-125.44245176242107,"{0: 18, 1: 4, 2: 3, 3: 1, 4: 2}",1
42,False,"{'a': 0.5, 'e': 0.8814479033836181}",20,0,-65.31480973910604,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.8788035596734672}",30,0,-156.1290240492115,"{0: 14, 1: 5, 2: 9, 3: 1, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.8761671489944468}",20,0,-32.89587336564064,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.8735386475474635}",20,0,-59.988199325084835,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.8709180316048211}",30,11,-50.33857402267227,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 1}",1
47,False,"{'a': 0.5, 'e': 0.8683052775100066}",35,0,-164.44287705923512,"{0: 21, 1: 5, 2: 6, 3: 1, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.8657003616774767}",25,0,-271.9871907004555,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 6}",0
49,False,"{'a': 0.5, 'e': 0.8631032605924442}",30,0,-141.52129589906963,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.860513950810667}",20,0,-101.42326403323261,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.857932408958235}",20,0,-97.35965907030408,"{0: 9, 1: 6, 2: 4, 3: 0, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.8553586117313603}",25,0,-87.30905563561919,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.8527925358961662}",20,0,-105.36404493937685,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.8502341582884777}",20,5,-93.67635823266038,"{0: 9, 1: 1, 2: 2, 3: 2, 4: 1}",1
