trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-133.2260856924041,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-79.16120245623645,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,3,-59.18383669697363,"{0: 13, 1: 5, 2: 3, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.96006134356226,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-48.06025004397435,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-153.40205343066307,"{0: 19, 1: 0, 2: 9, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-71.34390213348293,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.65267878736042,"{0: 10, 1: 6, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-174.0465454935441,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.1234982752281,"{0: 8, 1: 4, 2: 5, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-73.29017413848393,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.40414765237853,"{0: 6, 1: 7, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-178.8237577154925,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-203.09922812862135,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-122.61402905115543,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.82503525075215,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,7,-123.38787037067748,"{0: 7, 1: 2, 2: 0, 3: 2, 4: 2}",1
18,False,"{'a': 0.5, 'e': 1.0}",35,0,-163.92187014673007,"{0: 24, 1: 4, 2: 3, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-151.27798306487517,"{0: 9, 1: 2, 2: 5, 3: 3, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.28265884275432,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-153.00660469129045,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-202.3588839376286,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-71.68804778197837,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-251.40401327683935,"{0: 14, 1: 2, 2: 8, 3: 3, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-137.51349182536208,"{0: 17, 1: 1, 2: 11, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-162.01535915369803,"{0: 11, 1: 6, 2: 6, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-81.32361061562345,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-118.02517318664789,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-78.91507887835857,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-128.20383735392105,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
